position,member.id,member.first_name,member.last_name,member.country.code,member.country.label,member.country.iso_alpha_2,member.group.code,member.group.label,member.group.short_label
VotePosition.FOR,28223,Andreas,SCHWAB,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,197425,Ralf,SEEKATZ,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,197835,Aušra,SEIBUTYTĖ,LTU,Lithuania,LT,EPP,European People’s Party,EPP
VotePosition.FOR,197418,Monica,SEMEDO,LUX,Luxembourg,LU,RENEW,Renew Europe,Renew
VotePosition.DID_NOT_VOTE,197423,Nico,SEMSROTT,DEU,Germany,DE,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,197677,Günther,SIDL,AUT,Austria,AT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,124747,Pedro,SILVA PEREIRA,PRT,Portugal,PT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,197426,Sven,SIMON,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.ABSTENTION,197935,Ivan Vilibor,SINČIĆ,HRV,Croatia,HR,NI,Non-attached Members,Non-attached
VotePosition.DID_NOT_VOTE,96932,Birgit,SIPPEL,DEU,Germany,DE,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.ABSTENTION,197390,Sara,SKYTTEDAL,SWE,Sweden,SE,EPP,European People’s Party,EPP
VotePosition.AGAINST,197849,Andrey,SLABAKOV,BGR,Bulgaria,BG,ECR,European Conservatives and Reformists,ECR
VotePosition.DID_NOT_VOTE,197791,Massimiliano,SMERIGLIO,ITA,Italy,IT,NI,Non-attached Members,Non-attached
VotePosition.ABSTENTION,204334,Vincenzo,SOFO,ITA,Italy,IT,ECR,European Conservatives and Reformists,ECR
VotePosition.DID_NOT_VOTE,197417,Tomislav,SOKOL,HRV,Croatia,HR,EPP,European People’s Party,EPP
VotePosition.FOR,185974,Jordi,SOLÉ,ESP,Spain,ES,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,197784,Susana,SOLÍS PÉREZ,ESP,Spain,ES,RENEW,Renew Europe,Renew
VotePosition.AGAINST,124834,Martin,SONNEBORN,DEU,Germany,DE,NI,Non-attached Members,Non-attached
VotePosition.FOR,197550,Sylwia,SPUREK,POL,Poland,PL,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,125064,Maria,SPYRAKI,GRC,Greece,GR,EPP,European People’s Party,EPP
VotePosition.DID_NOT_VOTE,197825,Raffaele,STANCANELLI,ITA,Italy,IT,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,124852,Sergei,STANISHEV,BGR,Bulgaria,BG,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.DID_NOT_VOTE,239271,Eleni,STAVROU,CYP,Cyprus,CY,EPP,European People’s Party,EPP
VotePosition.FOR,197772,Tineke,STRIK,NLD,Netherlands,NL,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,134605,Ramona,STRUGARIU,ROU,Romania,RO,RENEW,Renew Europe,Renew
VotePosition.DID_NOT_VOTE,197553,Beata,SZYDŁO,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197722,Nacho,SÁNCHEZ AMOR,ESP,Spain,ES,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.DID_NOT_VOTE,125020,Paul,TANG,NLD,Netherlands,NL,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,29579,Marc,TARABELLA,BEL,Belgium,BE,NI,Non-attached Members,Non-attached
VotePosition.AGAINST,204346,Dominik,TARCZYŃSKI,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.AGAINST,197806,Annalisa,TARDINO,ITA,Italy,IT,ID,Identity and Democracy,ID
VotePosition.FOR,197756,Vera,TAX,NLD,Netherlands,NL,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.AGAINST,197655,Cristian,TERHEŞ,ROU,Romania,RO,ECR,European Conservatives and Reformists,ECR
