date,sellrate
2022-02-16,10.09840034
2022-02-17,10.09840034
2022-02-18,10.09840034
2022-02-21,10.09840034
2022-02-22,10.19400242
2022-02-23,10.19400242
2022-02-24,10.27926914
2022-02-25,10.27926914
2022-02-28,10.27926914
2022-03-01,10.27926914
2022-03-02,10.4984649
2022-03-03,10.4602456
2022-03-04,10.53840676
2022-03-07,10.7503893
2022-03-08,10.77988814
2022-03-09,10.77988814
2022-03-10,10.77988814
2022-03-11,10.77988814
2022-03-14,10.77988814
2022-03-15,10.49297424
2022-03-16,10.49297424
2022-03-17,10.32276378
2022-03-18,10.32276378
2022-03-21,10.32276378
2022-03-22,10.243849
2022-03-23,10.243849
2022-03-24,10.243849
2022-03-25,10.243849
2022-03-28,10.243849
2022-03-29,10.17462362
2022-03-30,10.17462362
2022-03-31,10.1744083
2022-04-01,10.1744083
2022-04-04,10.1744083
2022-04-05,10.13640432
2022-04-06,10.15642908
2022-04-07,10.2050914
2022-04-08,10.2013233
2022-04-11,10.19034198
2022-04-12,10.24955498
2022-04-13,10.2772236
2022-04-19,10.3105982
2022-04-20,10.2772236
2022-04-21,10.2772236
2022-04-22,10.27216358
2022-04-25,10.36238266
2022-04-26,10.50513982
2022-04-27,10.62141262
2022-04-28,10.62141262
2022-04-29,10.615276
2022-05-02,10.65478722
2022-05-03,10.64132972
2022-05-04,10.6513421
2022-05-05,10.63766928
2022-05-06,10.76890682
2022-05-09,10.80486526
2022-05-10,10.84007008
2022-05-11,10.84007008
2022-05-12,10.91715464
2022-05-13,10.91715464
2022-05-16,10.91715464
2022-05-17,10.91715464
2022-05-18,10.91715464
2022-05-19,10.81003294
2022-05-20,10.81003294
2022-05-23,10.81003294
2022-05-24,10.81003294
2022-05-25,10.59460528
2022-05-30,10.58976058
2022-05-31,10.58093246
2022-06-01,10.58093246
2022-06-02,10.58093246
2022-06-03,10.58093246
2022-06-07,10.5797482
2022-06-08,10.5781333
2022-06-09,10.5905142
2022-06-10,10.67244346
2022-06-13,10.88162684
2022-06-14,10.9404092
2022-06-15,10.9404092
2022-06-16,11.06981652
2022-06-17,11.05485178
2022-06-20,10.97927446
2022-06-21,10.97927446
2022-06-22,10.97927446
2022-06-23,10.97604466
2022-06-27,10.89163922
2022-06-28,10.89163922
2022-06-29,10.97959744
2022-06-30,11.0286904
2022-07-01,11.08564254
2022-07-04,11.11244988
2022-07-05,11.27447818
2022-07-06,11.27447818
2022-07-07,11.35177806
2022-07-08,11.41497448
2022-07-11,11.39893314
2022-07-12,11.48656838
2022-07-13,11.48656838
2022-07-14,11.48656838
2022-07-15,11.4087302
2022-07-18,11.4087302
2022-07-19,11.4087302
2022-07-20,11.16800244
2022-07-21,11.16800244
2022-07-22,11.04117896
2022-07-25,11.03665724
2022-07-26,11.00618946
2022-07-27,11.1035141
2022-07-28,11.1035141
2022-07-29,11.1035141
2022-08-01,11.1035141
2022-08-02,10.95849608
2022-08-03,11.04473174
2022-08-04,11.04473174
2022-08-05,11.04473174
2022-08-08,11.04473174
2022-08-09,10.9441773
2022-08-10,10.9608646
2022-08-11,10.9608646
2022-08-12,10.9608646
2022-08-15,11.06184968
2022-08-16,11.19061104
2022-08-17,11.19061104
2022-08-18,11.22581586
2022-08-19,11.34940954
2022-08-22,11.45997636
2022-08-23,11.58184748
2022-08-24,11.58184748
2022-08-25,11.58184748
2022-08-26,11.58184748
2022-08-29,11.58184748
2022-08-30,11.5153136
2022-08-31,11.5217732
2022-09-01,11.52026596
2022-09-02,11.60014968
2022-09-05,11.68660066
2022-09-06,11.67023634
2022-09-07,11.62211232
2022-09-08,11.6337396
2022-09-09,11.58992198
2022-09-12,11.58992198
2022-09-13,11.44242778
2022-09-14,11.4571772
2022-09-15,11.56063846
2022-09-16,11.6202821
2022-09-19,11.65085754
2022-09-20,11.64536688
2022-09-21,11.84238468
2022-09-22,11.8286042
2022-09-23,12.02766754
2022-09-26,12.14641652
2022-09-27,12.15578294
2022-09-28,12.33320662
2022-09-29,12.30855248
2022-09-30,12.22360874
2022-10-03,12.1542757
2022-10-04,12.05070678
2022-10-05,12.05070678
2022-10-06,12.05070678
2022-10-07,12.04887656
2022-10-10,12.19098776
2022-10-11,12.21488828
2022-10-12,12.21488828
2022-10-13,12.22813046
2022-10-14,12.23469772
2022-10-17,12.21488828
2022-10-18,12.16471872
2022-10-19,12.1025989
2022-10-20,12.1025989
2022-10-21,12.19314096
2022-10-24,12.1768843
2022-10-25,12.1768843
2022-10-26,12.1768843
2022-10-27,12.03724928
2022-10-28,12.03724928
2022-10-31,12.03724928
2022-11-01,11.84776768
2022-11-02,11.85358132
2022-11-03,12.07482262
2022-11-07,12.0336965
2022-11-08,12.0336965
2022-11-09,12.0336965
2022-11-10,12.0336965
2022-11-11,11.72751146
2022-11-14,11.71523822
2022-11-15,11.37331006
2022-11-16,11.37331006
2022-11-17,11.37331006
2022-11-18,11.41529746
2022-11-21,11.56246868
2022-11-22,11.52898642
2022-11-23,11.52898642
2022-11-24,11.52898642
2022-11-25,11.52898642
2022-11-28,11.52898642
2022-11-29,11.32518604
2022-11-30,11.3349831
2022-12-01,11.36803472
2022-12-02,11.32163326
2022-12-05,11.32163326
2022-12-06,11.32163326
2022-12-07,11.234321
2022-12-08,11.234321
2022-12-09,11.234321
2022-12-12,11.234321
2022-12-13,11.14087212
2022-12-14,11.0938247
2022-12-15,11.0938247
2022-12-16,11.17704588
