obs,tb3,tb6,time,time2
1992M05,3.63000011444092,3.75,137,18769
1992M06,3.66000008583069,3.76999998092651,138,19044
1992M07,3.21000003814697,3.27999997138977,139,19321
1992M08,3.13000011444092,3.21000003814697,140,19600
1992M09,2.91000008583069,2.96000003814697,141,19881
1992M10,2.85999989509583,3.03999996185303,142,20164
1992M11,3.13000011444092,3.33999991416931,143,20449
1992M12,3.22000002861023,3.35999989509583,144,20736
1993M01,3,3.14000010490417,145,21025
1993M02,2.9300000667572,3.0699999332428,146,21316
1993M03,2.95000004768372,3.04999995231628,147,21609
1993M04,2.86999988555908,2.97000002861023,148,21904
1993M05,2.96000003814697,3.0699999332428,149,22201
1993M06,3.0699999332428,3.20000004768372,150,22500
1993M07,3.03999996185303,3.16000008583069,151,22801
1993M08,3.01999998092651,3.14000010490417,152,23104
1993M09,2.95000004768372,3.05999994277954,153,23409
1993M10,3.01999998092651,3.11999988555908,154,23716
1993M11,3.09999990463257,3.25999999046326,155,24025
1993M12,3.05999994277954,3.23000001907349,156,24336
1994M01,2.98000001907349,3.15000009536743,157,24649
1994M02,3.25,3.4300000667572,158,24964
1994M03,3.5,3.77999997138977,159,25281
1994M04,3.6800000667572,4.09000015258789,160,25600
1994M05,4.1399998664856,4.59999990463257,161,25921
1994M06,4.1399998664856,4.55000019073486,162,26244
1994M07,4.32999992370606,4.75,163,26569
1994M08,4.48000001907349,4.88000011444092,164,26896
1994M09,4.61999988555908,5.03999996185303,165,27225
1994M10,4.94999980926514,5.3899998664856,166,27556
1994M11,5.28999996185303,5.71999979019165,167,27889
1994M12,5.59999990463257,6.21000003814697,168,28224
1995M01,5.71000003814697,6.21000003814697,169,28561
1995M02,5.76999998092651,6.03000020980835,170,28900
1995M03,5.73000001907349,5.8899998664856,171,29241
1995M04,5.65000009536743,5.76999998092651,172,29584
1995M05,5.67000007629395,5.67000007629395,173,29929
1995M06,5.46999979019165,5.42000007629395,174,30276
1995M07,5.42000007629395,5.36999988555908,175,30625
1995M08,5.40000009536743,5.40999984741211,176,30976
1995M09,5.28000020980835,5.30000019073486,177,31329
1995M10,5.28000020980835,5.32000017166138,178,31684
1995M11,5.3600001335144,5.26999998092651,179,32041
1995M12,5.1399998664856,5.13000011444092,180,32400
1996M01,5,4.92000007629395,181,32761
1996M02,4.82999992370606,4.76999998092651,182,33124
1996M03,4.96000003814697,4.96000003814697,183,33489
1996M04,4.94999980926514,5.05999994277954,184,33856
1996M05,5.01999998092651,5.11999988555908,185,34225
1996M06,5.09000015258789,5.25,186,34596
1996M07,5.15000009536743,5.30000019073486,187,34969
1996M08,5.05000019073486,5.13000011444092,188,35344
1996M09,5.09000015258789,5.23999977111816,189,35721
1996M10,4.98999977111816,5.1100001335144,190,36100
1996M11,5.03000020980835,5.07000017166138,191,36481
1996M12,4.90999984741211,5.03999996185303,192,36864
1997M01,5.03000020980835,5.09999990463257,193,37249
1997M02,5.01000022888184,5.05999994277954,194,37636
1997M03,5.1399998664856,5.26000022888184,195,38025
1997M04,5.15999984741211,5.36999988555908,196,38416
1997M05,5.05000019073486,5.30000019073486,197,38809
1997M06,4.92999982833862,5.13000011444092,198,39204
1997M07,5.05000019073486,5.11999988555908,199,39601
1997M08,5.1399998664856,5.19000005722046,200,40000
1997M09,4.94999980926514,5.09000015258789,201,40401
1997M10,4.96999979019165,5.09000015258789,202,40804
1997M11,5.1399998664856,5.17000007629395,203,41209
1997M12,5.15999984741211,5.23999977111816,204,41616
1998M01,5.03999996185303,5.03000020980835,205,42025
1998M02,5.09000015258789,5.07000017166138,206,42436
1998M03,5.03000020980835,5.03999996185303,207,42849
1998M04,4.94999980926514,5.05999994277954,208,43264
1998M05,5,5.1399998664856,209,43681
1998M06,4.98000001907349,5.11999988555908,210,44100
1998M07,4.96000003814697,5.03000020980835,211,44521
1998M08,4.90000009536743,4.94999980926514,212,44944
1998M09,4.6100001335144,4.63000011444092,213,45369
1998M10,3.96000003814697,4.05000019073486,214,45796
1998M11,4.40999984741211,4.42000007629395,215,46225
1998M12,4.3899998664856,4.40000009536743,216,46656
1999M01,4.34000015258789,4.32999992370606,217,47089
1999M02,4.44000005722046,4.44000005722046,218,47524
1999M03,4.44000005722046,4.46999979019165,219,47961
1999M04,4.28999996185303,4.36999988555908,220,48400
1999M05,4.5,4.55999994277954,221,48841
1999M06,4.57000017166138,4.82000017166138,222,49284
1999M07,4.55000019073486,4.57999992370606,223,49729
1999M08,4.71999979019165,4.86999988555908,224,50176
1999M09,4.67999982833862,4.88000011444092,225,50625
1999M10,4.8600001335144,4.98000001907349,226,51076
1999M11,5.07000017166138,5.19999980926514,227,51529
1999M12,5.19999980926514,5.44000005722046,228,51984
2000M01,5.32000017166138,5.5,229,52441
2000M02,5.55000019073486,5.71999979019165,230,52900
2000M03,5.69000005722046,5.84999990463257,231,53361
2000M04,5.65999984741211,5.80999994277954,232,53824
2000M05,5.78999996185303,6.09999990463257,233,54289
2000M06,5.69000005722046,5.96999979019165,234,54756
2000M07,5.96000003814697,6,235,55225
2000M08,6.09000015258789,6.07000017166138,236,55696
2000M09,6,5.98000001907349,237,56169
2000M10,6.1100001335144,6.03999996185303,238,56644
2000M11,6.17000007629395,6.05999994277954,239,57121
2000M12,5.76999998092651,5.67999982833862,240,57600
2001M01,5.15000009536743,4.94999980926514,241,58081
2001M02,4.88000011444092,4.71000003814697,242,58564
2001M03,4.42000007629395,4.28000020980835,243,59049
2001M04,3.86999988555908,3.84999990463257,244,59536
2001M05,3.61999988555908,3.61999988555908,245,60025
2001M06,3.49000000953674,3.45000004768372,246,60516
2001M07,3.50999999046326,3.45000004768372,247,61009
2001M08,3.35999989509583,3.28999996185303,248,61504
2001M09,2.64000010490417,2.63000011444092,249,62001
2001M10,2.16000008583069,2.11999988555908,250,62500
2001M11,1.87000000476837,1.87999999523163,251,63001
